"","DBIC_ID","fVn_left.dlPFC","fVn_left.IPL","fVn_left.IPS","fVn_left.MFG","fVn_right.dlPFC","fVn_right.IPL","fVn_right.IPS","fVn_right.MFG","fVn_left.lOFC","fVn_left.VS","fVn_right.VS","fVn_left.vmPFC","fVr_left.dlPFC","fVr_left.IPL","fVr_left.IPS","fVr_left.MFG","fVr_right.dlPFC","fVr_right.IPL","fVr_right.IPS","fVr_right.MFG","fVr_left.lOFC","fVr_left.VS","fVr_right.VS","fVr_left.vmPFC","fVn_left.dlPFC_z","fVn_left.IPL_z","fVn_left.IPS_z","fVn_left.MFG_z","fVn_right.dlPFC_z","fVn_right.IPL_z","fVn_right.IPS_z","fVn_right.MFG_z","fVn_left.lOFC_z","fVn_left.VS_z","fVn_right.VS_z","fVn_left.vmPFC_z","fVr_left.dlPFC_z","fVr_left.IPL_z","fVr_left.IPS_z","fVr_left.MFG_z","fVr_right.dlPFC_z","fVr_right.IPL_z","fVr_right.IPS_z","fVr_right.MFG_z","fVr_left.lOFC_z","fVr_left.VS_z","fVr_right.VS_z","fVr_left.vmPFC_z"
"1","01may15fz",-0.518842,0.203809,0.897468,0.994967,-0.527744,1.55293,-0.017792,0.0029917,-0.537539,0.380207,0.504425,-0.646448,-0.0640719,0.708952,2.76271,2.83252,-1.19523,1.32077,0.765451,0.312981,-0.0505168,0.940831,0.387539,-1.22178,-1.23156055719184,0.484970613237235,0.954267689036579,1.06033917635995,-1.49025681355892,2.56673425044551,-0.876677908261637,-0.91185167587969,-1.68214354077943,0.61534947372469,0.969925424339376,-1.31930043768323,-0.481937161514175,1.559502264089,2.62948357867121,2.48348377608582,-2.2094557290077,1.86573900269675,-0.439060854981237,-0.564334191091641,-0.504181472395891,1.62677398243542,0.870869345412956,-0.959768202149961
"2","02apr15at",-0.490039,0.39924,0.479481,0.224261,0.547974,0.117047,0.111713,0.0296692,0.390804,0.0291219,0.248449,0.0885638,-0.617187,-0.301447,0.600262,-0.57086,-0.38025,-0.500573,0.266685,-1.28234,-0.445994,0.248595,-0.0516887,-1.22801,-1.18391186041222,0.903259072476109,0.230740009499061,-0.435170941193936,0.66819904467052,0.326782115261666,-0.6386255891612,-0.864540913469055,0.214450102167236,-0.260613972769327,0.326145169178325,0.0264578787216466,-1.29420864195413,-0.30002158904622,-0.119393159156075,-1.59305095766783,-0.991379275251592,-0.364184692706081,-1.04388125304718,-2.2057693643531,-1.10276131840356,0.160685343377201,-0.103165336968274,-0.96987576281522
"3","02jun15ky",0.385848,0.108467,-0.0402619,-0.156635,-0.00778717,-0.256901,0.313052,0.503299,-0.100756,-0.035841,-0.0835247,-0.423624,0.215958,0.00726945,-0.280531,0.18108,0.366192,0.113404,0.952156,0.0228926,0.187624,-0.172534,-0.308996,-0.791774,0.265064776612,0.280906476632742,-0.668925229833981,-1.174277450986,-0.446950049388471,-0.256570164170384,-0.268530103462865,-0.0245901332836186,-0.789801097149031,-0.422697541050198,-0.508769484120259,-0.911324332953208,-0.0707021374830957,0.26813574546245,-1.23904615822986,-0.692384700094853,0.124259665942815,0.387525369996192,-0.212656103212069,-0.86280785445791,-0.143740255071244,-0.731224991361169,-0.673771959068546,-0.26212586965791
"4","02jun15sm",0.179477,0.443907,-0.246282,-0.0121969,0.318984,0.478017,0.0129224,-0.740169,0.490491,-0.23771,0.0370412,-0.365362,0.294657,0.64582,1.54638,1.12904,0.155473,0.4486,0.275056,0.181533,0.813323,-0.314185,-0.170262,-1.56689,-0.0763340083446504,0.998861564449352,-1.02554216981318,-0.894003728048515,0.208724714989358,0.889888943768803,-0.820219592754294,-2.22979748454324,0.418109450580941,-0.926364216110748,-0.205545955876511,-0.804650438696843,0.0448704680001828,1.44331503518623,1.08330015945306,0.443072365001937,-0.190682850755795,0.797915671550731,-1.03373029738418,-0.699581812513832,0.803294899084677,-1.03122805651703,-0.366114387322781,-1.51967514616082
"5","02mar15aj",0.566425,0.627858,0.853547,0.272167,-0.301948,-0.834273,0.867167,0.716743,-0.0662544,-0.0832547,0.1453,-0.468171,-0.375598,0.159048,0.83848,0.580623,0.0778943,0.184683,1.5684,2.05882,0.316341,0.327308,-0.09826,-1.10689,0.563792642402818,1.39257893971454,0.87824125947545,-0.342212137588492,-1.037191327098,-1.15726029295899,0.750027950653491,0.353938528396665,-0.719314741102302,-0.540995549319513,0.066725186290838,-0.99288696326865,-0.939425605497509,0.547466815781479,0.183426570489096,-0.21381606622848,-0.306632675025114,0.474794341894741,0.534622062071342,1.23196983891336,0.0510810950307822,0.327391835160624,-0.206442205443511,-0.77337050635034
"6","03apr15al",-0.515532,-0.186661,-0.090464,0.00383401,-0.21953,-0.386271,0.0486814,-0.229356,0.30285,0.122214,-0.203446,0.350028,-0.356789,-0.0534815,0.833226,0.635627,0.111756,0.161723,0.64369,1.53561,0.49392,0.791204,-0.182649,-0.54115,-1.22608483638704,-0.350767292617021,-0.755824126021926,-0.862896680615907,-0.871817488486432,-0.458385080656431,-0.754488440453514,-1.32390478547983,0.0347611323880372,-0.0283475599897314,-0.810371841814907,0.505181651036795,-0.911803842367927,0.156330566888812,0.176747751677941,-0.147932821778731,-0.256022672995428,0.446683739967235,-0.586712331803849,0.693635988232447,0.319858183758516,1.3098785236665,-0.393583892571781,0.144486856533091
"7","03apr15eb",1.20306,0.902174,0.540621,0.235173,0.564196,0.0886195,0.56382,0.364022,0.423806,0.430845,0.371178,0.643182,1.1406,1.0779,1.09407,-0.371534,0.782541,0.904869,1.56954,0.275547,0.516387,0.128987,0.0239445,0.444176,1.61697557731556,1.97970798773952,0.336572206019344,-0.413996840560558,0.700748905258702,0.282435717036366,0.192424330390487,-0.271588579774711,0.281872793354142,0.741692166717255,0.634808899120431,1.04192736517003,1.28717134349213,2.23850888084786,0.50832936834656,-1.35430025620629,0.746538634070747,1.35653920076942,0.536004464347751,-0.602850254176042,0.353863414402038,-0.0926327879255279,0.064559421601088,1.74308112941547
"8","03apr15eh",0.0221956,-0.116815,0.0341991,0.536731,-0.102455,-0.0931544,0.0960057,0.590811,0.688981,0.16115,0.107492,0.059852,0.44489,-0.122422,0.93853,0.816413,0.749421,0.0461896,1.32252,0.255744,0.175207,0.229216,0.180504,-0.992958,-0.336524048884653,-0.201273221952703,-0.540034631451632,0.171158899798692,-0.636903487231259,-0.00112835846678853,-0.667498290538029,0.130606547067972,0.823622145983915,0.0687984389509557,-0.028362024569278,-0.0261115407474741,0.265493592049655,0.0294534577496815,0.310608873887661,0.0686108519739464,0.697037183546314,0.305232807182771,0.23645971845439,-0.623225677514728,-0.162534172768338,0.119642502877271,0.411746957487974,-0.588527071083194
"9","03apr15jf",0.639952,-0.241769,0.0939001,0.085152,-0.583351,-1.34785,0.144595,0.457913,0.110077,0.686424,-0.0600728,0.077893,0.429067,-0.219105,0.618369,-0.070963,-0.598728,-0.664942,1.57242,1.58688,0.728005,0.248252,0.37129,-0.563783,0.685428087603489,-0.468717057044036,-0.436693317018242,-0.705103855875804,-1.60183369049932,-1.95843134779515,-0.578182854466319,-0.105079169466511,-0.359071800409169,1.37936622833791,-0.449787899260697,0.00692034498042898,0.242256888450347,-0.148480551184089,-0.0963757681751871,-0.994279300139359,-1.31791846328532,-0.565426484004956,0.539496849046046,0.746387993210201,0.674160690332106,0.159958902678946,0.834835439641502,0.107767045853025
"10","06apr15lt",0.473839,0.143582,0.890563,0.483124,0.808038,0.497535,1.1836,1.10697,0.150996,0.0726612,0.0809822,0.476224,1.51233,0.696727,1.12964,0.890979,1.44412,0.397319,2.30513,1.88696,-0.0771978,-0.303989,0.0299744,-0.352958,0.410627963722207,0.356064456923346,0.942315263178342,0.0671376376420312,1.19002415526138,0.920336679255969,1.33168587498003,1.04598001966141,-0.275474772935774,-0.151982660059284,-0.0950342352775805,0.736238236110707,1.83307160443953,1.53700354912137,0.553545505596804,0.157925265573684,1.73534057055939,0.735130838038343,1.42800559636822,1.0551420726665,-0.544564859532572,-1.00963391844297,0.0779313736234458,0.449809819087902
