"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"1","RRV001","1","con_0001.nii","snack","rest","9_3_-6","right VS","reward",-0.148999,0.566533,"reward_association-test_z_FDR_0.01","association","unmasked",9061.98
"2","RRV001","1","con_0001.nii","snack","rest","-9_3_-6","left VS","reward",1.40105,1.04005,"reward_association-test_z_FDR_0.01","association","unmasked",9061.98
"3","RRV001","1","con_0001.nii","snack","rest","-30_33_-18","left lOFC","reward",-0.146543,0.717053,"reward_association-test_z_FDR_0.01","association","unmasked",9061.98
"4","RRV001","1","con_0001.nii","snack","rest","46_28_31","right dlPFC","cognitive_control",-0.370994,0.602156,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1069.2
"5","RRV001","1","con_0001.nii","snack","rest","-44_27_33","left dlPFC","cognitive_control",-0.253704,0.726892,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1069.2
"6","RRV001","1","con_0001.nii","snack","rest","44_8_34","right MFG","cognitive_control",0.463179,0.587616,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1069.2
"7","RRV001","1","con_0001.nii","snack","rest","-42_7_36","left MFG","cognitive_control",1.42112,0.761428,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1069.2
"8","RRV001","1","con_0001.nii","snack","rest","54_-44_43","right IPL","cognitive_control",0.959177,0.371175,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1069.2
"9","RRV001","1","con_0001.nii","snack","rest","-53_-50_39","left IPL","cognitive_control",0.464461,0.482862,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1069.2
"10","RRV001","1","con_0001.nii","snack","rest","32_-59_41","right IPS","cognitive_control",0.714566,0.28903,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1069.2
"11","RRV001","1","con_0001.nii","snack","rest","-32_-58_46","left IPS","cognitive_control",1.27337,0.660192,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1069.2
"12","RRV001","1","con_0001.nii","snack","rest","-6_49_1","left vmPFC","value",-0.233131,0.72205,"value_association-test_z_FDR_0.01","association","unmasked",1890.8
"13","RRV001","2","con_0002.nii","snack","rest","9_3_-6","right VS","reward",-0.167628,1.17585,"reward_association-test_z_FDR_0.01","association","unmasked",-7707.44
"14","RRV001","2","con_0002.nii","snack","rest","-9_3_-6","left VS","reward",0.360704,0.723088,"reward_association-test_z_FDR_0.01","association","unmasked",-7707.44
"15","RRV001","2","con_0002.nii","snack","rest","-30_33_-18","left lOFC","reward",-0.45506,0.525644,"reward_association-test_z_FDR_0.01","association","unmasked",-7707.44
"16","RRV001","2","con_0002.nii","snack","rest","46_28_31","right dlPFC","cognitive_control",-1.04468,0.639956,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",-190.805
"17","RRV001","2","con_0002.nii","snack","rest","-44_27_33","left dlPFC","cognitive_control",-0.377623,1.50787,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",-190.805
"18","RRV001","2","con_0002.nii","snack","rest","44_8_34","right MFG","cognitive_control",-0.508455,0.393225,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",-190.805
"19","RRV001","2","con_0002.nii","snack","rest","-42_7_36","left MFG","cognitive_control",1.33993,0.93278,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",-190.805
"20","RRV001","2","con_0002.nii","snack","rest","54_-44_43","right IPL","cognitive_control",0.286619,0.46326,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",-190.805
"21","RRV001","2","con_0002.nii","snack","rest","-53_-50_39","left IPL","cognitive_control",0.47555,0.487908,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",-190.805
"22","RRV001","2","con_0002.nii","snack","rest","32_-59_41","right IPS","cognitive_control",0.234745,0.298849,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",-190.805
"23","RRV001","2","con_0002.nii","snack","rest","-32_-58_46","left IPS","cognitive_control",1.63038,0.915306,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",-190.805
"24","RRV001","2","con_0002.nii","snack","rest","-6_49_1","left vmPFC","value",-2.24018,0.467575,"value_association-test_z_FDR_0.01","association","unmasked",-2574.05
"25","RRV001","all","con_0003.nii","snack","rest","9_3_-6","right VS","reward",-0.316627,1.38996,"reward_association-test_z_FDR_0.01","association","unmasked",1354.54
"26","RRV001","all","con_0003.nii","snack","rest","-9_3_-6","left VS","reward",1.76176,1.34979,"reward_association-test_z_FDR_0.01","association","unmasked",1354.54
"27","RRV001","all","con_0003.nii","snack","rest","-30_33_-18","left lOFC","reward",-0.601602,0.97802,"reward_association-test_z_FDR_0.01","association","unmasked",1354.54
"28","RRV001","all","con_0003.nii","snack","rest","46_28_31","right dlPFC","cognitive_control",-1.41567,0.518775,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",878.399
"29","RRV001","all","con_0003.nii","snack","rest","-44_27_33","left dlPFC","cognitive_control",-0.631327,1.88763,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",878.399
"30","RRV001","all","con_0003.nii","snack","rest","44_8_34","right MFG","cognitive_control",-0.0452766,0.642373,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",878.399
"31","RRV001","all","con_0003.nii","snack","rest","-42_7_36","left MFG","cognitive_control",2.76105,1.66427,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",878.399
"32","RRV001","all","con_0003.nii","snack","rest","54_-44_43","right IPL","cognitive_control",1.2458,0.713284,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",878.399
"33","RRV001","all","con_0003.nii","snack","rest","-53_-50_39","left IPL","cognitive_control",0.940011,0.900111,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",878.399
"34","RRV001","all","con_0003.nii","snack","rest","32_-59_41","right IPS","cognitive_control",0.949311,0.421657,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",878.399
"35","RRV001","all","con_0003.nii","snack","rest","-32_-58_46","left IPS","cognitive_control",2.90375,1.56116,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",878.399
"36","RRV001","all","con_0003.nii","snack","rest","-6_49_1","left vmPFC","value",-2.47331,0.946104,"value_association-test_z_FDR_0.01","association","unmasked",-683.243
"37","RRV001","1","con_0004.nii","meal","rest","9_3_-6","right VS","reward",0.507741,0.348507,"reward_association-test_z_FDR_0.01","association","unmasked",8553.23
"38","RRV001","1","con_0004.nii","meal","rest","-9_3_-6","left VS","reward",0.682839,0.588898,"reward_association-test_z_FDR_0.01","association","unmasked",8553.23
"39","RRV001","1","con_0004.nii","meal","rest","-30_33_-18","left lOFC","reward",-0.00863877,0.255201,"reward_association-test_z_FDR_0.01","association","unmasked",8553.23
"40","RRV001","1","con_0004.nii","meal","rest","46_28_31","right dlPFC","cognitive_control",-0.163065,0.366892,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1299.06
"41","RRV001","1","con_0004.nii","meal","rest","-44_27_33","left dlPFC","cognitive_control",0.210209,0.472231,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1299.06
"42","RRV001","1","con_0004.nii","meal","rest","44_8_34","right MFG","cognitive_control",1.02151,0.596946,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1299.06
"43","RRV001","1","con_0004.nii","meal","rest","-42_7_36","left MFG","cognitive_control",2.00217,1.26846,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1299.06
"44","RRV001","1","con_0004.nii","meal","rest","54_-44_43","right IPL","cognitive_control",0.715523,0.370275,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1299.06
"45","RRV001","1","con_0004.nii","meal","rest","-53_-50_39","left IPL","cognitive_control",0.195986,0.332085,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1299.06
"46","RRV001","1","con_0004.nii","meal","rest","32_-59_41","right IPS","cognitive_control",0.293513,0.239013,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1299.06
"47","RRV001","1","con_0004.nii","meal","rest","-32_-58_46","left IPS","cognitive_control",1.21558,0.701079,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1299.06
"48","RRV001","1","con_0004.nii","meal","rest","-6_49_1","left vmPFC","value",-0.0301324,0.397584,"value_association-test_z_FDR_0.01","association","unmasked",1473.88
"49","RRV001","2","con_0005.nii","meal","rest","9_3_-6","right VS","reward",-0.106925,0.235701,"reward_association-test_z_FDR_0.01","association","unmasked",-5387.19
"50","RRV001","2","con_0005.nii","meal","rest","-9_3_-6","left VS","reward",-0.165356,0.425933,"reward_association-test_z_FDR_0.01","association","unmasked",-5387.19
"51","RRV001","2","con_0005.nii","meal","rest","-30_33_-18","left lOFC","reward",-0.303069,0.268548,"reward_association-test_z_FDR_0.01","association","unmasked",-5387.19
"52","RRV001","2","con_0005.nii","meal","rest","46_28_31","right dlPFC","cognitive_control",-1.00358,0.900862,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",252.103
"53","RRV001","2","con_0005.nii","meal","rest","-44_27_33","left dlPFC","cognitive_control",-0.497774,0.915027,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",252.103
"54","RRV001","2","con_0005.nii","meal","rest","44_8_34","right MFG","cognitive_control",-0.390672,0.384409,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",252.103
