"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"1","RRV001","all","con_0003.nii","snack","rest","9_3_-6","right VS","reward",-0.316627,1.38996,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",26358.3
"2","RRV001","all","con_0003.nii","snack","rest","-9_3_-6","left VS","reward",1.76176,1.34979,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",26358.3
"3","RRV001","all","con_0003.nii","snack","rest","-30_33_-18","left lOFC","reward",-0.601602,0.97802,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",26358.3
"4","RRV001","all","con_0003.nii","snack","rest","46_28_31","right dlPFC","cognitive_control",-1.41567,0.518775,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38349.8
"5","RRV001","all","con_0003.nii","snack","rest","-44_27_33","left dlPFC","cognitive_control",-0.631327,1.88763,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38349.8
"6","RRV001","all","con_0003.nii","snack","rest","44_8_34","right MFG","cognitive_control",-0.0452766,0.642373,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38349.8
"7","RRV001","all","con_0003.nii","snack","rest","-42_7_36","left MFG","cognitive_control",2.76105,1.66427,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38349.8
"8","RRV001","all","con_0003.nii","snack","rest","54_-44_43","right IPL","cognitive_control",1.2458,0.713284,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38349.8
"9","RRV001","all","con_0003.nii","snack","rest","-53_-50_39","left IPL","cognitive_control",0.940011,0.900111,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38349.8
"10","RRV001","all","con_0003.nii","snack","rest","32_-59_41","right IPS","cognitive_control",0.949311,0.421657,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38349.8
"11","RRV001","all","con_0003.nii","snack","rest","-32_-58_46","left IPS","cognitive_control",2.90375,1.56116,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38349.8
"12","RRV001","all","con_0003.nii","snack","rest","-6_49_1","left vmPFC","value",-2.47331,0.946104,"value_uniformity-test_z_FDR_0.01","uniformity","masked",12058.8
"13","RRV001","all","con_0006.nii","meal","rest","9_3_-6","right VS","reward",0.400816,0.501131,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",42431.9
"14","RRV001","all","con_0006.nii","meal","rest","-9_3_-6","left VS","reward",0.517483,0.421399,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",42431.9
"15","RRV001","all","con_0006.nii","meal","rest","-30_33_-18","left lOFC","reward",-0.311708,0.275124,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",42431.9
"16","RRV001","all","con_0006.nii","meal","rest","46_28_31","right dlPFC","cognitive_control",-1.16664,0.754133,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",50179
"17","RRV001","all","con_0006.nii","meal","rest","-44_27_33","left dlPFC","cognitive_control",-0.287565,1.06561,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",50179
"18","RRV001","all","con_0006.nii","meal","rest","44_8_34","right MFG","cognitive_control",0.630839,0.810485,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",50179
"19","RRV001","all","con_0006.nii","meal","rest","-42_7_36","left MFG","cognitive_control",2.96721,2.02348,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",50179
"20","RRV001","all","con_0006.nii","meal","rest","54_-44_43","right IPL","cognitive_control",1.51923,0.80711,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",50179
"21","RRV001","all","con_0006.nii","meal","rest","-53_-50_39","left IPL","cognitive_control",0.308093,0.725131,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",50179
"22","RRV001","all","con_0006.nii","meal","rest","32_-59_41","right IPS","cognitive_control",0.635271,0.591189,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",50179
"23","RRV001","all","con_0006.nii","meal","rest","-32_-58_46","left IPS","cognitive_control",2.24766,1.21827,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",50179
"24","RRV001","all","con_0006.nii","meal","rest","-6_49_1","left vmPFC","value",-0.489935,0.715861,"value_uniformity-test_z_FDR_0.01","uniformity","masked",21671.2
"25","RRV001","all","con_0009.nii","dessert","rest","9_3_-6","right VS","reward",1.07843,0.660095,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",41562.5
"26","RRV001","all","con_0009.nii","dessert","rest","-9_3_-6","left VS","reward",0.543253,0.394733,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",41562.5
"27","RRV001","all","con_0009.nii","dessert","rest","-30_33_-18","left lOFC","reward",0.76176,0.376848,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",41562.5
"28","RRV001","all","con_0009.nii","dessert","rest","46_28_31","right dlPFC","cognitive_control",-1.00338,1.13583,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",45405.8
"29","RRV001","all","con_0009.nii","dessert","rest","-44_27_33","left dlPFC","cognitive_control",0.726676,1.1492,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",45405.8
"30","RRV001","all","con_0009.nii","dessert","rest","44_8_34","right MFG","cognitive_control",0.353381,0.696145,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",45405.8
"31","RRV001","all","con_0009.nii","dessert","rest","-42_7_36","left MFG","cognitive_control",2.7693,1.73742,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",45405.8
"32","RRV001","all","con_0009.nii","dessert","rest","54_-44_43","right IPL","cognitive_control",1.19727,0.980471,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",45405.8
"33","RRV001","all","con_0009.nii","dessert","rest","-53_-50_39","left IPL","cognitive_control",0.878753,1.01687,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",45405.8
"34","RRV001","all","con_0009.nii","dessert","rest","32_-59_41","right IPS","cognitive_control",0.711772,0.401292,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",45405.8
"35","RRV001","all","con_0009.nii","dessert","rest","-32_-58_46","left IPS","cognitive_control",3.13674,1.2744,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",45405.8
"36","RRV001","all","con_0009.nii","dessert","rest","-6_49_1","left vmPFC","value",-0.702103,0.424677,"value_uniformity-test_z_FDR_0.01","uniformity","masked",20993.8
"37","RRV001","all","con_0012.nii","nature","rest","9_3_-6","right VS","reward",-0.116887,0.584075,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",32191.4
"38","RRV001","all","con_0012.nii","nature","rest","-9_3_-6","left VS","reward",0.560624,0.543808,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",32191.4
"39","RRV001","all","con_0012.nii","nature","rest","-30_33_-18","left lOFC","reward",0.487022,0.31802,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",32191.4
"40","RRV001","all","con_0012.nii","nature","rest","46_28_31","right dlPFC","cognitive_control",-0.667488,0.53161,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",30706.6
"41","RRV001","all","con_0012.nii","nature","rest","-44_27_33","left dlPFC","cognitive_control",0.45477,0.609073,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",30706.6
"42","RRV001","all","con_0012.nii","nature","rest","44_8_34","right MFG","cognitive_control",0.309989,0.656737,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",30706.6
"43","RRV001","all","con_0012.nii","nature","rest","-42_7_36","left MFG","cognitive_control",1.83755,1.15662,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",30706.6
"44","RRV001","all","con_0012.nii","nature","rest","54_-44_43","right IPL","cognitive_control",-0.232163,0.37784,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",30706.6
"45","RRV001","all","con_0012.nii","nature","rest","-53_-50_39","left IPL","cognitive_control",0.505144,0.36203,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",30706.6
"46","RRV001","all","con_0012.nii","nature","rest","32_-59_41","right IPS","cognitive_control",0.783243,0.360774,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",30706.6
"47","RRV001","all","con_0012.nii","nature","rest","-32_-58_46","left IPS","cognitive_control",1.86525,1.00223,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",30706.6
"48","RRV001","all","con_0012.nii","nature","rest","-6_49_1","left vmPFC","value",-0.575334,0.512472,"value_uniformity-test_z_FDR_0.01","uniformity","masked",15893
"49","RRV001","all","con_0015.nii","social","rest","9_3_-6","right VS","reward",0.643323,0.821464,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",44337.1
"50","RRV001","all","con_0015.nii","social","rest","-9_3_-6","left VS","reward",0.0157992,0.325723,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",44337.1
"51","RRV001","all","con_0015.nii","social","rest","-30_33_-18","left lOFC","reward",0.210415,0.203782,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",44337.1
"52","RRV001","all","con_0015.nii","social","rest","46_28_31","right dlPFC","cognitive_control",-0.0230532,0.619517,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38185
"53","RRV001","all","con_0015.nii","social","rest","-44_27_33","left dlPFC","cognitive_control",0.169166,0.57358,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38185
"54","RRV001","all","con_0015.nii","social","rest","44_8_34","right MFG","cognitive_control",1.03332,0.905687,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38185
"55","RRV001","all","con_0015.nii","social","rest","-42_7_36","left MFG","cognitive_control",2.21872,1.44709,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38185
"56","RRV001","all","con_0015.nii","social","rest","54_-44_43","right IPL","cognitive_control",-0.513488,0.382707,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38185
"57","RRV001","all","con_0015.nii","social","rest","-53_-50_39","left IPL","cognitive_control",0.226037,0.394302,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38185
"58","RRV001","all","con_0015.nii","social","rest","32_-59_41","right IPS","cognitive_control",0.573728,0.315966,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38185
"59","RRV001","all","con_0015.nii","social","rest","-32_-58_46","left IPS","cognitive_control",1.77504,0.946442,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",38185
"60","RRV001","all","con_0015.nii","social","rest","-6_49_1","left vmPFC","value",-0.0203845,0.41863,"value_uniformity-test_z_FDR_0.01","uniformity","masked",22232.5
"61","RRV001","all","con_0018.nii","food","rest","9_3_-6","right VS","reward",0.387539,0.784459,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",36784.2
"62","RRV001","all","con_0018.nii","food","rest","-9_3_-6","left VS","reward",0.940831,0.574778,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",36784.2
"63","RRV001","all","con_0018.nii","food","rest","-30_33_-18","left lOFC","reward",-0.0505168,0.36013,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",36784.2
"64","RRV001","all","con_0018.nii","food","rest","46_28_31","right dlPFC","cognitive_control",-1.19523,0.7183,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",44644.9
"65","RRV001","all","con_0018.nii","food","rest","-44_27_33","left dlPFC","cognitive_control",-0.0640719,1.34364,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",44644.9
"66","RRV001","all","con_0018.nii","food","rest","44_8_34","right MFG","cognitive_control",0.312981,0.644323,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",44644.9
"67","RRV001","all","con_0018.nii","food","rest","-42_7_36","left MFG","cognitive_control",2.83252,1.79279,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",44644.9
"68","RRV001","all","con_0018.nii","food","rest","54_-44_43","right IPL","cognitive_control",1.32077,0.812903,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",44644.9
"69","RRV001","all","con_0018.nii","food","rest","-53_-50_39","left IPL","cognitive_control",0.708952,0.86858,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",44644.9
"70","RRV001","all","con_0018.nii","food","rest","32_-59_41","right IPS","cognitive_control",0.765451,0.422158,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",44644.9
"71","RRV001","all","con_0018.nii","food","rest","-32_-58_46","left IPS","cognitive_control",2.76271,1.30182,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","masked",44644.9
"72","RRV001","all","con_0018.nii","food","rest","-6_49_1","left vmPFC","value",-1.22178,0.60594,"value_uniformity-test_z_FDR_0.01","uniformity","masked",18241.2
"73","RRV001","all","con_0021.nii","snack","nature","9_3_-6","right VS","reward",-0.19974,1.45616,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",-5833.15
"74","RRV001","all","con_0021.nii","snack","nature","-9_3_-6","left VS","reward",1.20113,0.94505,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",-5833.15
"75","RRV001","all","con_0021.nii","snack","nature","-30_33_-18","left lOFC","reward",-1.08862,0.936003,"reward_uniformity-test_z_FDR_0.01","uniformity","masked",-5833.15
