"subjectID","wave","task","run","nVols","percent"
"RRV001",1,"CR",1,10,4
"RRV001",1,"CR",2,8,3.2
"RRV002",1,"CR",1,0,0
"RRV002",1,"CR",2,1,0.4
"RRV003",1,"CR",1,2,0.8
"RRV003",1,"CR",2,9,3.6
"RRV004",1,"CR",1,0,0
"RRV004",1,"CR",2,0,0
"RRV005",1,"CR",1,2,0.8
"RRV005",1,"CR",2,2,0.8
"RRV006",1,"CR",1,0,0
"RRV006",1,"CR",2,0,0
"RRV007",1,"CR",1,4,1.6
"RRV007",1,"CR",2,9,3.6
"RRV008",1,"CR",1,3,1.2
"RRV008",1,"CR",2,4,1.6
"RRV009",1,"CR",1,0,0
"RRV009",1,"CR",2,0,0
"RRV010",1,"CR",1,0,0
"RRV010",1,"CR",2,0,0
"RRV011",1,"CR",1,0,0
"RRV011",1,"CR",2,1,0.4
"RRV012",1,"CR",1,0,0
"RRV012",1,"CR",2,2,0.8
"RRV013",1,"CR",1,2,0.8
"RRV013",1,"CR",2,3,1.2
"RRV014",1,"CR",1,2,0.8
"RRV014",1,"CR",2,9,3.6
"RRV015",1,"CR",1,0,0
"RRV015",1,"CR",2,2,0.8
"RRV016",1,"CR",1,4,1.6
"RRV016",1,"CR",2,2,0.8
"RRV017",1,"CR",1,0,0
"RRV017",1,"CR",2,0,0
"RRV018",1,"CR",1,0,0
"RRV018",1,"CR",2,0,0
"RRV019",1,"CR",1,2,0.8
"RRV019",1,"CR",2,4,1.6
"RRV020",1,"CR",1,5,2
"RRV020",1,"CR",2,9,3.6
"RRV021",1,"CR",1,0,0
"RRV021",1,"CR",2,0,0
"RRV022",1,"CR",1,6,2.4
"RRV022",1,"CR",2,3,1.2
"RRV023",1,"CR",1,0,0
"RRV023",1,"CR",2,0,0
"RRV024",1,"CR",1,0,0
"RRV024",1,"CR",2,2,0.8
"RRV025",1,"CR",1,0,0
"RRV025",1,"CR",2,1,0.4
"RRV026",1,"CR",1,0,0
"RRV026",1,"CR",2,5,2
"RRV027",1,"CR",1,31,12.4
"RRV027",1,"CR",2,34,13.6
"RRV028",1,"CR",1,0,0
"RRV028",1,"CR",2,5,2
"RRV029",1,"CR",1,2,0.8
"RRV029",1,"CR",2,2,0.8
"RRV030",1,"CR",1,5,2
"RRV030",1,"CR",2,8,3.2
"RRV031",1,"CR",1,5,2
"RRV031",1,"CR",2,2,0.8
"RRV032",1,"CR",1,0,0
"RRV032",1,"CR",2,0,0
"RRV033",1,"CR",1,0,0
"RRV033",1,"CR",2,0,0
"RRV034",1,"CR",1,4,1.6
"RRV034",1,"CR",2,6,2.4
"RRV035",1,"CR",1,0,0
"RRV035",1,"CR",2,0,0
"RRV036",1,"CR",1,7,2.8
"RRV036",1,"CR",2,6,2.4
"RRV037",1,"CR",1,2,0.8
"RRV037",1,"CR",2,4,1.6
"RRV038",1,"CR",1,6,2.4
"RRV038",1,"CR",2,4,1.6
"RRV039",1,"CR",1,0,0
"RRV039",1,"CR",2,0,0
"RRV041",1,"CR",1,4,1.6
"RRV041",1,"CR",2,7,2.8
"RRV043",1,"CR",1,0,0
"RRV043",1,"CR",2,0,0
"RRV044",1,"CR",1,0,0
"RRV044",1,"CR",2,3,1.2
"RRV045",1,"CR",1,2,0.8
"RRV045",1,"CR",2,20,8
"RRV046",1,"CR",1,0,0
"RRV046",1,"CR",2,1,0.4
"RRV047",1,"CR",1,2,0.8
"RRV047",1,"CR",2,5,2
"RRV048",1,"CR",1,7,2.8
"RRV048",1,"CR",2,4,1.6
"RRV049",1,"CR",1,3,1.2
"RRV049",1,"CR",2,9,3.6
