"subjectID","wave","task","run","volume","trash"
"RRV002",1,"CR",1,13,1
"RRV002",1,"CR",1,14,1
"RRV002",1,"CR",1,19,1
"RRV002",1,"CR",1,23,1
"RRV002",1,"CR",1,24,1
"RRV002",1,"CR",1,25,1
"RRV002",1,"CR",1,26,1
"RRV002",1,"CR",2,25,1
"RRV004",1,"CR",2,37,1
"RRV004",1,"CR",2,155,1
"RRV005",1,"CR",1,12,1
"RRV005",1,"CR",1,88,1
"RRV005",1,"CR",2,102,1
"RRV005",1,"CR",2,103,1
"RRV008",1,"CR",1,114,1
"RRV008",1,"CR",1,115,1
"RRV008",1,"CR",1,116,1
"RRV008",1,"CR",1,117,1
"RRV008",1,"CR",1,196,1
"RRV008",1,"CR",1,204,1
"RRV008",1,"CR",1,205,1
"RRV008",1,"CR",1,236,1
"RRV008",1,"CR",1,243,1
"RRV008",1,"CR",1,244,1
"RRV008",1,"CR",2,82,1
"RRV008",1,"CR",2,146,1
"RRV008",1,"CR",2,233,1
"RRV009",1,"CR",1,125,1
"RRV009",1,"CR",1,126,1
"RRV013",1,"CR",1,2,1
"RRV013",1,"CR",1,3,1
"RRV013",1,"CR",2,6,1
"RRV013",1,"CR",2,7,1
"RRV013",1,"CR",2,64,1
"RRV013",1,"CR",2,65,1
"RRV013",1,"CR",2,67,1
"RRV017",1,"CR",1,7,1
"RRV017",1,"CR",1,8,1
"RRV017",1,"CR",1,33,1
"RRV017",1,"CR",1,232,1
"RRV017",1,"CR",1,233,1
"RRV017",1,"CR",1,234,1
"RRV017",1,"CR",2,133,1
"RRV018",1,"CR",1,127,1
"RRV019",1,"CR",1,54,1
"RRV022",1,"CR",2,67,1
"RRV022",1,"CR",2,115,1
"RRV022",1,"CR",2,127,1
"RRV022",1,"CR",2,128,1
"RRV022",1,"CR",2,158,1
"RRV022",1,"CR",2,169,1
"RRV022",1,"CR",2,182,1
"RRV022",1,"CR",2,217,1
"RRV022",1,"CR",2,218,1
"RRV023",1,"CR",1,191,1
"RRV023",1,"CR",1,198,1
"RRV023",1,"CR",2,217,1
"RRV023",1,"CR",2,218,1
"RRV023",1,"CR",2,250,1
"RRV024",1,"CR",1,59,1
"RRV024",1,"CR",1,60,1
