DBIC_ID,fVn_left dlPFC,fVn_left IPL,fVn_left IPS,fVn_left MFG,fVn_right dlPFC,fVn_right IPL,fVn_right IPS,fVn_right MFG,fVn_left lOFC,fVn_left VS,fVn_right VS,fVn_left vmPFC,fVr_left dlPFC,fVr_left IPL,fVr_left IPS,fVr_left MFG,fVr_right dlPFC,fVr_right IPL,fVr_right IPS,fVr_right MFG,fVr_left lOFC,fVr_left VS,fVr_right VS,fVr_left vmPFC
01may15fz,-0.518842,0.203809,0.897468,0.994967,-0.527744,1.55293,-0.017792,0.0029917,-0.537539,0.380207,0.504425,-0.646448,-0.0640719,0.708952,2.76271,2.83252,-1.19523,1.32077,0.765451,0.312981,-0.0505168,0.940831,0.387539,-1.22178
02apr15at,-0.490039,0.39924,0.479481,0.224261,0.547974,0.117047,0.111713,0.0296692,0.390804,0.0291219,0.248449,0.0885638,-0.617187,-0.301447,0.600262,-0.57086,-0.38025,-0.500573,0.266685,-1.28234,-0.445994,0.248595,-0.0516887,-1.22801
02jun15ky,0.385848,0.108467,-0.0402619,-0.156635,-0.00778717,-0.256901,0.313052,0.503299,-0.100756,-0.035841,-0.0835247,-0.423624,0.215958,0.00726945,-0.280531,0.18108,0.366192,0.113404,0.952156,0.0228926,0.187624,-0.172534,-0.308996,-0.791774
02jun15sm,0.179477,0.443907,-0.246282,-0.0121969,0.318984,0.478017,0.0129224,-0.740169,0.490491,-0.23771,0.0370412,-0.365362,0.294657,0.64582,1.54638,1.12904,0.155473,0.4486,0.275056,0.181533,0.813323,-0.314185,-0.170262,-1.56689
02mar15aj,0.566425,0.627858,0.853547,0.272167,-0.301948,-0.834273,0.867167,0.716743,-0.0662544,-0.0832547,0.1453,-0.468171,-0.375598,0.159048,0.83848,0.580623,0.0778943,0.184683,1.5684,2.05882,0.316341,0.327308,-0.09826,-1.10689
03apr15al,-0.515532,-0.186661,-0.090464,0.00383401,-0.21953,-0.386271,0.0486814,-0.229356,0.30285,0.122214,-0.203446,0.350028,-0.356789,-0.0534815,0.833226,0.635627,0.111756,0.161723,0.64369,1.53561,0.49392,0.791204,-0.182649,-0.54115
03apr15eb,1.20306,0.902174,0.540621,0.235173,0.564196,0.0886195,0.56382,0.364022,0.423806,0.430845,0.371178,0.643182,1.1406,1.0779,1.09407,-0.371534,0.782541,0.904869,1.56954,0.275547,0.516387,0.128987,0.0239445,0.444176
03apr15eh,0.0221956,-0.116815,0.0341991,0.536731,-0.102455,-0.0931544,0.0960057,0.590811,0.688981,0.16115,0.107492,0.059852,0.44489,-0.122422,0.93853,0.816413,0.749421,0.0461896,1.32252,0.255744,0.175207,0.229216,0.180504,-0.992958
03apr15jf,0.639952,-0.241769,0.0939001,0.085152,-0.583351,-1.34785,0.144595,0.457913,0.110077,0.686424,-0.0600728,0.077893,0.429067,-0.219105,0.618369,-0.070963,-0.598728,-0.664942,1.57242,1.58688,0.728005,0.248252,0.37129,-0.563783
06apr15lt,0.473839,0.143582,0.890563,0.483124,0.808038,0.497535,1.1836,1.10697,0.150996,0.0726612,0.0809822,0.476224,1.51233,0.696727,1.12964,0.890979,1.44412,0.397319,2.30513,1.88696,-0.0771978,-0.303989,0.0299744,-0.352958
06apr15sh,0.755266,-0.309483,1.31527,0.888625,0.398089,0.136501,1.76162,0.714533,0.296071,0.398935,-0.0190976,-0.282891,0.657524,-0.473774,1.49034,0.54155,1.03487,2.22384,3.55177,0.420565,0.362078,0.453456,0.11133,-1.11929
06mar15zs,-0.273305,-0.571811,0.427739,0.703835,-0.366904,0.0208085,0.379172,0.046784,1.11456,-0.526413,-0.300782,-0.318943,-0.714327,-1.64339,0.0746158,0.916072,-0.497266,-1.71093,0.37696,1.39074,0.0319396,-0.583293,-0.623311,-1.39824
07apr15as,0.737153,0.743452,0.580025,0.780815,1.26339,-0.109414,0.492429,0.522042,-0.16779,0.674641,0.904057,-0.0598724,-0.0328089,-0.388139,-0.855254,0.442454,0.664062,-1.0568,0.84257,0.00408956,-0.145407,0.80584,0.859791,-0.535919
07apr15as2,-0.476382,-0.135486,0.0939128,-0.365135,-0.212611,-1.26465,0.533048,-0.179861,0.752813,0.0505023,0.0397046,-0.77469,-1.04467,-0.270572,-0.376988,0.425717,-0.444264,-1.01329,1.30264,0.195429,-0.38297,-0.0389079,-0.0991464,-1.09259
07apr15cn,0.344108,-0.839142,0.603296,0.113857,0.0660638,-0.411672,0.333109,0.388561,0.716716,0.489555,0.44477,0.409436,0.0263053,0.0875724,0.416052,0.580463,0.162133,-0.737564,1.16476,0.29826,0.780815,0.162064,0.286953,-1.03831
07apr15es,-0.463302,-0.860483,-0.1186,-0.221635,-0.438299,-0.524475,-0.069211,1.02599,-0.0693408,0.0915997,-0.0858101,0.22409,-0.409594,-0.839852,1.35993,1.25581,0.0879181,-0.41168,0.832119,1.19358,-0.320412,-0.06927,-0.32566,-0.818096
07apr15me,-0.0268781,0.180728,0.394678,0.669825,-0.0478055,-0.488912,0.246829,0.76522,-0.183886,-0.0772747,0.381229,0.0545639,0.286431,-0.796214,1.06405,0.0679415,1.09893,-0.98757,1.32805,0.244352,-0.136612,0.480528,0.8031,-0.89117
07apr15mm,-1.08557,-0.774864,-0.275512,0.115885,-0.196253,-1.05709,-0.206351,0.0951714,0.632919,0.0478439,0.276675,0.0052699,-0.547524,-0.601646,0.763066,0.404169,0.159934,-0.832191,0.874505,0.121837,0.112927,0.367468,-0.0955795,-0.225908
07may15ha,1.14105,0.65603,1.38622,0.564503,1.26717,0.713232,1.51309,1.36536,2.25202,0.261319,0.371106,0.997829,1.21332,0.173115,1.59769,0.727876,0.722539,-0.0547825,2.02392,0.873293,2.2268,0.433563,0.103546,0.0531292
08mar15cf,1.60783,0.680612,1.00903,2.26449,0.934598,0.773994,1.51419,1.64544,-0.553864,0.769958,-0.111618,0.270686,1.41558,0.0155294,0.516394,3.1852,0.751791,0.309833,1.23116,1.54854,-0.716232,0.970272,-0.449757,-1.58652
09apr15aw,0.546587,0.21624,0.855858,0.483846,0.274256,0.391431,0.436829,0.473057,0.231456,0.728682,0.18244,-0.150437,0.0373545,-0.160728,0.601915,0.844727,-0.262997,0.253632,1.57183,0.385878,-0.262178,0.477334,-0.166713,-0.683138
13apr15kp,0.411396,-0.551281,0.258878,1.02629,0.413648,-0.776941,0.850408,0.584508,0.422014,0.281459,0.428495,0.551672,0.883617,0.19518,1.75629,1.04031,1.0397,-0.94857,1.81086,1.01295,0.663863,0.555818,0.277777,0.721122
14apr15rg,0.271895,-0.187831,-0.122271,-0.210415,0.292593,-1.31677,0.643806,-0.0663609,0.216093,-0.531957,-0.216812,0.268469,0.319659,-0.00304632,0.63412,1.38215,0.212251,-1.27243,1.44146,-0.303443,0.575138,-0.341507,-0.354127,0.109153
15apr15jy,0.528396,-0.221073,0.466876,1.21117,0.943125,-0.47362,0.414603,0.142508,0.33041,0.187958,0.213115,0.470078,0.40543,0.155488,-0.0492763,2.14119,0.444431,0.129582,1.21239,-0.422588,0.725418,0.28786,0.0964772,-0.100677
15apr15mp,0.252164,0.127439,0.93867,1.0282,0.427597,-0.0373653,1.30133,1.98024,0.309599,0.164375,-0.180642,-0.180023,-0.122494,-0.743091,0.71351,0.937609,0.810508,-0.539455,2.43605,1.79898,0.263645,0.0115711,-0.193629,-0.869413
16apr15js,0.287342,-0.225883,-0.272461,0.212878,-0.205464,-0.578711,0.140973,-0.015136,0.261445,-0.0987764,0.836991,-0.52291,0.59221,0.000318578,-0.53002,0.566189,-0.187938,-0.186807,0.548616,-0.0819905,0.196425,0.266063,0.724607,-0.92543
16feb15rn,-0.491435,-0.451406,-0.247751,-0.437454,0.0683664,0.0666619,0.315982,1.38516,0.204376,0.0358416,0.0616291,0.00320076,0.232438,0.281202,-0.455012,0.832336,-0.0541155,0.478344,-0.115981,1.92329,0.251701,-1.30642,0.261803,-0.883341
16feb15sf,0.158403,0.191214,0.580609,0.532306,0.868872,0.0354469,0.522606,0.741533,0.927728,0.515866,1.46255,0.710016,0.378138,-0.334235,0.935364,0.761577,0.515046,-0.617773,1.21513,2.93823,0.645376,-0.0633973,1.11879,-0.335491
16feb15zb,0.233017,0.201906,0.030292,0.424317,0.33783,-0.314018,-0.0809332,0.206079,-0.00834089,-0.779883,-0.528817,-0.694727,-0.211694,-0.141421,1.22467,0.143375,-0.0361025,-0.329147,0.350869,0.22113,-0.650782,-0.738221,-0.471362,-1.19851
18feb15aa,0.915986,0.556521,0.595876,0.660398,0.782792,-0.0420916,0.326926,0.0917543,0.350149,0.0641061,-0.0193588,0.0908374,1.10278,0.303377,0.270852,1.75583,0.543788,0.108468,0.38863,2.27923,0.709611,0.25957,0.218141,-0.496637
18feb15ap,0.952343,0.0449394,-0.149156,0.132583,0.0338495,0.112452,0.671613,0.266781,0.0798194,-0.311771,-0.630002,1.69281,1.17273,0.255278,1.50203,0.547426,0.174677,0.61214,0.860889,1.56234,0.238573,0.332502,0.139003,1.12462
18feb15kl,-0.0965591,-0.601839,1.10794,0.724126,0.409448,0.311091,1.26563,1.3246,0.594342,-0.09884,-0.589498,0.490365,0.822166,-0.648838,1.7201,1.64392,1.39205,1.21181,2.97566,2.3943,-0.482713,-0.131796,0.0421362,0.494025
20feb15ac,0.612673,0.452439,0.857098,0.616599,0.0814771,1.20342,1.22445,0.0391481,0.155151,0.747131,0.0804428,0.717329,0.120589,1.16462,0.695448,-0.255051,0.699269,-0.341797,2.67087,0.228945,0.354709,0.631948,0.0781533,-0.320695
20feb15as,0.25306,-0.0430206,-0.0175755,0.0447661,-0.213415,-0.575463,-0.520978,0.0337995,0.223534,-0.0538409,0.156489,-0.472536,0.0108792,-0.574275,-0.101945,0.78209,0.377674,-1.65525,-0.0518509,2.7248,-0.535261,-0.208581,-0.195207,-1.32071
20feb15pw,0.56732,0.650898,0.341628,0.0709769,-0.0585755,1.11912,0.475162,0.305926,-0.221508,-0.425059,-0.0340675,-0.296566,-0.0959108,0.257117,-0.17148,-0.837355,-0.847636,-1.28854,-0.278851,-0.764844,0.339823,-0.130582,-0.044892,-0.552889
